"","region_code","region_description","facility_state","site_type","inventory_type","use_type"
"1","AK","Alaska (BLM)","Alaska","CABIN ELECTRIC","ACTIVITYPASS","Activity"
"2","AZ","Arizona (BLM)","Arizona","CABIN NONELECTRIC","CAMPING","Day"
"3","CA","California (BLM)","California","Campsite","LOTTERY_PERMIT","Overnight"
"4","CO","Colorado (BLM)","Colorado","Entrance","PERMIT",""
"5","MT","Montana (BLM)","Idaho","Entry Point","TICKET",""
"6","NV","Nevada (BLM)","Montana","Entry Segment","VEHICLE_PERMIT",""
"7","OR","Oregon (BLM)","Nevada","EQUESTRIAN NONELECTRIC","",""
"8","UT","Utah (BLM) (UT)","New Mexico","GROUP EQUESTRIAN","",""
"9","WA","Washington (BLM)","Oregon","GROUP PICNIC AREA","",""
"10","","","Utah","GROUP SHELTER ELECTRIC","",""
"11","","","Washington","GROUP SHELTER NONELECTRIC","",""
"12","","","","GROUP STANDARD AREA NONELECTRIC","",""
"13","","","","GROUP STANDARD ELECTRIC","",""
"14","","","","GROUP STANDARD NONELECTRIC","",""
"15","","","","GROUP TENT ONLY AREA NONELECTRIC","",""
"16","","","","GROUP WALK TO","",""
"17","","","","Hiking Zone","",""
"18","","","","Historic Tour","",""
"19","","","","MANAGEMENT","",""
"20","","","","MOTOR","",""
"21","","","","NONMOTOR","",""
"22","","","","Private Vehicle Day Pass","",""
"23","","","","RV Nonelectric","",""
"24","","","","RV NONELECTRIC","",""
"25","","","","Segment","",""
"26","","","","SHELTER ELECTRIC","",""
"27","","","","Shelter Nonelectric","",""
"28","","","","SHELTER NONELECTRIC","",""
"29","","","","Standard Nonelectric","",""
"30","","","","STANDARD NONELECTRIC","",""
"31","","","","TENT ONLY NONELECTRIC","",""
"32","","","","Trailhead","",""
"33","","","","Walk To","",""
"34","","","","WALK TO","",""
"35","","","","Yes","",""
