"","region_code","region_description","facility_state","site_type","inventory_type","use_type"
"1","GP","Great Plains","California","CABIN ELECTRIC","CAMPING","Day"
"2","MP","Mid Pacific","Montana","GROUP PICNIC AREA","","Overnight"
"3","PN","Pacific Northwest","North Dakota","GROUP RV AREA NONELECTRIC","",""
"4","","","Oregon","GROUP SHELTER ELECTRIC","",""
"5","","","","GROUP SHELTER NONELECTRIC","",""
"6","","","","GROUP STANDARD AREA NONELECTRIC","",""
"7","","","","GROUP STANDARD NONELECTRIC","",""
"8","","","","GROUP TENT ONLY AREA NONELECTRIC","",""
"9","","","","MANAGEMENT","",""
"10","","","","RV ELECTRIC","",""
"11","","","","RV NONELECTRIC","",""
"12","","","","STANDARD NONELECTRIC","",""
"13","","","","TENT ONLY NONELECTRIC","",""
"14","","","","WALK TO","",""
