"","region_code","region_description","parent_location","facility_state","site_type","inventory_type"
"1","AK","Alaska (BLM)","Axolotl Lakes","Alaska","CABIN ELECTRIC","ACTIVITYPASS"
"2","AZ","Arizona (BLM)","Bears Ears National Monument","Arizona","CABIN NONELECTRIC","CAMPING"
"3","CA","California (BLM)","Canyon Rims","California","Campsite","LOTTERY_PERMIT"
"4","CO","Colorado (BLM)","Carrizo Plain National Monument","Colorado","Entrance","PERMIT"
"5","MT","Montana (BLM)","Central Coast Field Office","Idaho","Entry Point","TICKET"
"6","NV","Nevada (BLM)","Coeur d'Alene Lake","Montana","Entry Segment","VEHICLE_PERMIT"
"7","OR","Oregon (BLM)","Desolation Canyon","Nevada","EQUESTRIAN NONELECTRIC",""
"8","UT","Utah (BLM) (UT)","Dillion","New Mexico","GROUP EQUESTRIAN",""
"9","WA","Washington (BLM)","Fishermen's Bend Recreation Area","Oregon","GROUP PICNIC AREA",""
"10","","","Gunnison","Utah","GROUP SHELTER ELECTRIC",""
"11","","","Hauser Lake","Washington","GROUP SHELTER NONELECTRIC",""
"12","","","Hyatt Reservoir","","GROUP STANDARD AREA NONELECTRIC",""
"13","","","Indian Creek Recreation Area","","GROUP STANDARD ELECTRIC",""
"14","","","John Day Wild and Scenic River","","GROUP STANDARD NONELECTRIC",""
"15","","","Ken's Lake Recreation Area","","GROUP TENT ONLY AREA NONELECTRIC",""
"16","","","King Range Wilderness","","GROUP WALK TO",""
"17","","","Labyrinth Rims -Gemini Bridge","","Hiking Zone",""
"18","","","Labyrinth Rims | Gemini Bridge","","Historic Tour",""
"19","","","Little North Santiam River ","","MANAGEMENT",""
"20","","","Little Sahara Recreation Area","","MOTOR",""
"21","","","Lower Deschutes Wild and Scenic River","","NONMOTOR",""
"22","","","Lower Holter Lake/Missouri R","","Private Vehicle Day Pass",""
"23","","","Mary's Peak Extensive","","RV Nonelectric",""
"24","","","Mcinnis Canyons National Conservation Area","","RV NONELECTRIC",""
"25","","","Moab Daily River","","Segment",""
"26","","","Moonflower Canyon Recreation Area","","SHELTER ELECTRIC",""
"27","","","North Umpqua Wild and Scenic River ","","Shelter Nonelectric",""
"28","","","Parker Strip Recreation Area","","SHELTER NONELECTRIC",""
"29","","","Piedras Blancas Historic Lightstation Outstanding Natural Area","","Standard Nonelectric",""
"30","","","Price","","STANDARD NONELECTRIC",""
"31","","","Red Rock Canyon National Conservation Area","","TENT ONLY NONELECTRIC",""
"32","","","Rio Chama Wild and Scenic River","","Trailhead",""
"33","","","Rogue Wild & Scenic River","","Walk To",""
"34","","","Safford","","WALK TO",""
"35","","","Salmon Wild and Scenic River","","Yes",""
"36","","","Salt Lake Field Office","","",""
"37","","","San Juan River","","",""
"38","","","Sand Flats Recreation Area","","",""
"39","","","Shotgun Creek OHV Staging Area","","",""
"40","","","Siuslaw River SRMA","","",""
"41","","","Sixes River","","",""
"42","","","The Ledge Campground","","",""
"43","","","Westwater Canyon River","","",""
"44","","","White Mountains National Recreation Area","","",""
"45","","","Yakima River Canyon","","",""
