"","region_code","region_description","parent_location","facility_state","site_type","inventory_type"
"1","GP","Great Plains","Canyon Ferry Lake","California","CABIN ELECTRIC","CAMPING"
"2","MP","Mid Pacific","Haystack Reservoir","Montana","GROUP PICNIC AREA",""
"3","PN","Pacific Northwest","Jamestown Reservoir","North Dakota","GROUP RV AREA NONELECTRIC",""
"4","","","Lake Berryessa","Oregon","GROUP SHELTER ELECTRIC",""
"5","","","New Melones Lake","","GROUP SHELTER NONELECTRIC",""
"6","","","Stony Gorge Reservoir","","GROUP STANDARD AREA NONELECTRIC",""
"7","","","","","GROUP STANDARD NONELECTRIC",""
"8","","","","","GROUP TENT ONLY AREA NONELECTRIC",""
"9","","","","","MANAGEMENT",""
"10","","","","","RV ELECTRIC",""
"11","","","","","RV NONELECTRIC",""
"12","","","","","STANDARD NONELECTRIC",""
"13","","","","","TENT ONLY NONELECTRIC",""
"14","","","","","WALK TO",""
