"","region_code","region_description","facility_state","site_type","inventory_type","use_type"
"1","REGION 4 SOUTHEAST","Region 4 Southeast","Alaska","Area","CAMPING","Overnight"
"2","REGION 7 ALASKA","Region 7 Alaska","Georgia","CABIN NONELECTRIC","LOTTERY_PERMIT",""
"3","","","Maryland","GROUP SHELTER ELECTRIC","PERMIT",""
"4","","","Oklahoma","GROUP TENT ONLY AREA NONELECTRIC","TICKET",""
"5","","","","MANAGEMENT","",""
"6","","","","Nature Hike","",""
"7","","","","RV ELECTRIC","",""
"8","","","","RV NONELECTRIC","",""
"9","","","","STANDARD ELECTRIC","",""
"10","","","","STANDARD NONELECTRIC","",""
