"","region_code","region_description","facility_state","site_type","inventory_type","use_type"
"1","AKR","Alaska Region","Alaska","ANCHORAGE","CAMPING","Day"
"2","IMR","Imr","Arizona","BOAT IN","LOTTERY_PERMIT","Multi"
"3","MWR","Midwest Region","Arkansas","Cabin","LOTTERY_TICKET","Overnight"
"4","NCR","National Capitol Region","California","CABIN ELECTRIC","PERMIT",""
"5","NER","Northeast Region","Colorado","CABIN NONELECTRIC","RENTAL",""
"6","PWR","Pwr","District of Columbia","Campground","TICKET",""
"7","RMR","Intermountain Region","Florida","Campsite","VEHICLE_PERMIT",""
"8","SER","Southeast Region","Georgia","Cave Tour","",""
"9","WRO","Pacific West Region","Hawaii","Cliff Dwelling Tour","",""
"10","","","Idaho","Combo Tour","",""
"11","","","Indiana","COURT","",""
"12","","","Kentucky","Entry Point","",""
"13","","","Maine","EQUESTRIAN ELECTRIC","",""
"14","","","Maryland","EQUESTRIAN NONELECTRIC","",""
"15","","","Massachusetts","GROUP EQUESTRIAN","",""
"16","","","Michigan","GROUP HIKE TO","",""
"17","","","Minnesota","GROUP PICNIC AREA","",""
"18","","","Mississippi","GROUP RV AREA NONELECTRIC","",""
"19","","","Missouri","GROUP SHELTER ELECTRIC","",""
"20","","","Montana","GROUP SHELTER NONELECTRIC","",""
"21","","","Nevada","GROUP STANDARD AREA NONELECTRIC","",""
"22","","","New Jersey","GROUP STANDARD ELECTRIC","",""
"23","","","New Mexico","GROUP STANDARD NONELECTRIC","",""
"24","","","New York","GROUP TENT ONLY AREA NONELECTRIC","",""
"25","","","North Carolina","GROUP WALK TO","",""
"26","","","North Dakota","Hidden","",""
"27","","","Ohio","Hike","",""
"28","","","Oklahoma","HIKE TO","",""
"29","","","Oregon","Historic Tour","",""
"30","","","Pennsylvania","Houseboat","",""
"31","","","South Carolina","MANAGEMENT","",""
"32","","","Tennessee","Movie Tour","",""
"33","","","Texas","Nature Hike","",""
"34","","","Utah","Nature tour","",""
"35","","","Virginia","Nature Tour","",""
"36","","","Washington","OVERNIGHT SHELTER NONELECTRIC","",""
"37","","","West Virginia","PICNIC","",""
"38","","","Wisconsin","RV ELECTRIC","",""
"39","","","Wyoming","RV NONELECTRIC","",""
"40","","","","Segment","",""
"41","","","","SHELTER ELECTRIC","",""
"42","","","","SHELTER NONELECTRIC","",""
"43","","","","STANDARD ELECTRIC","",""
"44","","","","Standard Nonelectric","",""
"45","","","","STANDARD NONELECTRIC","",""
"46","","","","TENT ONLY ELECTRIC","",""
"47","","","","Tent Only Nonelectric","",""
"48","","","","TENT ONLY NONELECTRIC","",""
"49","","","","WALK TO","",""
"50","","","","Yes","",""
