"","region_code","region_description","parent_location","facility_state","site_type","inventory_type"
"1","CB","Mississippi Valley","Abiquiu Lake","Alabama","BALL FIELD","CAMPING"
"2","CE","North Atlantic Div","Alabama River Lakes","Arkansas","BOAT IN",""
"3","CG","Northwestern Div.","Allatoona Lake","California","CABIN ELECTRIC",""
"4","CH","Great Lakes / Ohio R","Alum Creek Lake","Connecticut","CABIN NONELECTRIC",""
"5","CK","South Atlantic Div","Arkabutla Lake","Florida","EQUESTRIAN ELECTRIC",""
"6","CL","South Pacific Div.","Arkansas River - Murray Lock and Dam","Georgia","EQUESTRIAN NONELECTRIC",""
"7","CM","Southwestern Div.","Arkansas River - Pool 3","Idaho","GROUP EQUESTRIAN",""
"8","","","Arkansas River - Pool 5","Illinois","GROUP PICNIC AREA",""
"9","","","Arkansas River - Robert S. Kerr Pool","Indiana","GROUP SHELTER ELECTRIC",""
"10","","","Arkansas River - Terry Lock and Dam","Iowa","GROUP SHELTER NONELECTRIC",""
"11","","","Arkansas River - Toad Suck Ferry Pool","Kansas","GROUP STANDARD AREA ELECTRIC",""
"12","","","Arkansas River - Wilbur D. Mills Pool","Kentucky","GROUP STANDARD AREA NONELECTRIC",""
"13","","","Ashtabula Lake","Maryland","GROUP STANDARD ELECTRIC",""
"14","","","Ball Mountain Lake","Massachusetts","GROUP STANDARD NONELECTRIC",""
"15","","","Bardwell Lake","Minnesota","GROUP TENT ONLY AREA NONELECTRIC",""
"16","","","Barkley Lake","Mississippi","GROUP WALK TO",""
"17","","","Barren River Lake","Missouri","HIKE TO",""
"18","","","Bayou Bodcau Reservoir","Montana","MANAGEMENT",""
"19","","","Beaver Lake","Nebraska","MOORING",""
"20","","","Beech Fork Lake","New Hampshire","No",""
"21","","","Belton Lake","New Mexico","OVERNIGHT SHELTER ELECTRIC",""
"22","","","Benbrook Lake","North Carolina","OVERNIGHT SHELTER NONELECTRIC",""
"23","","","Bennington Lake","North Dakota","PICNIC",""
"24","","","Berlin Lake","Ohio","RV ELECTRIC",""
"25","","","Big Hill Lake","Oklahoma","RV NONELECTRIC",""
"26","","","Birch Lake","Oregon","SHELTER ELECTRIC",""
"27","","","Black Butte Lake","Pennsylvania","SHELTER NONELECTRIC",""
"28","","","Black Warrior and Tombigbee Lakes","South Carolina","STANDARD ELECTRIC",""
"29","","","Blue Marsh Lake","South Dakota","STANDARD NONELECTRIC",""
"30","","","Blue Mountain Lake","Tennessee","TENT ONLY ELECTRIC",""
"31","","","Bluestone Lake","Texas","TENT ONLY NONELECTRIC",""
"32","","","Brookville Lake","Vermont","WALK TO",""
"33","","","Buckhorn Lake","Virginia","Yes",""
"34","","","Buffumville Lake","Washington","",""
"35","","","Bull Shoals Lake","West Virginia","",""
"36","","","Burnsville Lake","Wisconsin","",""
"37","","","Caesar Creek Lake","","",""
"38","","","Canton Lake","","",""
"39","","","Canyon Lake","","",""
"40","","","Carlyle Lake","","",""
"41","","","Carr Creek Lake","","",""
"42","","","Carters Lake","","",""
"43","","","Cave Run Lake","","",""
"44","","","Center Hill Lake","","",""
"45","","","Cheatham Lock and Dam","","",""
"46","","","Clarence J. Brown Dam and Reservoir","","",""
"47","","","Clearwater Lake","","",""
"48","","","Clinton Lake","","",""
"49","","","Cochiti Lake","","",""
"50","","","Cold Brook Lake","","",""
"51","","","Conemaugh River Lake","","",""
"52","","","Copan Lake","","",""
"53","","","Coralville Lake","","",""
"54","","","Cordell Hull Lake","","",""
"55","","","Cottage Grove Lake","","",""
"56","","","Cottonwood Springs Lake","","",""
