"","region_code","region_description","parent_location","facility_state","site_type","inventory_type"
"1","F0","Alaska Region","Tongass National Forest","Alaska","CABIN NONELECTRIC","CAMPING"
"2","F1","Northern Region","Chugach National Forest","","STANDARD NONELECTRIC","PERMIT"
"3","F2","Rocky Mountain RE","Idaho Panhandle National Forests","Idaho","RV NONELECTRIC","LOTTERY_PERMIT"
"4","F3","Southwest Reg.","Helena-Lewis and Clark National Forest","Montana","GROUP SHELTER NONELECTRIC","TICKET"
"5","F4","Intermountain Reg.","Nez Perce-Clearwater National Forests","Wyoming","TENT ONLY NONELECTRIC","VEHICLE_PERMIT"
"6","F5","Pacific Southwest","Kootenai National Forest","Colorado","Entry Point",""
"7","F6","Pacific Northwest","Bitterroot National Forest","South Dakota","",""
"8","F8","Southern Region","Custer National Forest","Nebraska","WALK TO",""
"9","F9","Eastern Region","Custer Gallatin National Forest","Arizona","GROUP TENT ONLY AREA NONELECTRIC",""
"10","","","Lolo National Forest","New Mexico","STANDARD ELECTRIC",""
"11","","","Flathead National Forest","California","RV ELECTRIC",""
"12","","","Beaverhead-Deerlodge National Forest","Utah","Trailhead",""
"13","","","Medicine Bow-Routt NFs & Thunder Basin NG","Nevada","GROUP SHELTER ELECTRIC",""
"14","","","White River National Forest","Oregon","GROUP PICNIC AREA",""
"15","","","PSICC","Washington","GROUP STANDARD NONELECTRIC",""
"16","","","Bighorn National Forest","North Carolina","GROUP STANDARD AREA NONELECTRIC",""
"17","","","Grand Mesa, Uncompahgre and Gunnison National Forest","Virginia","LOOKOUT",""
"18","","","Black Hills National Forest","Tennessee","MANAGEMENT",""
"19","","","Rio Grande National Forest","Alabama","CABIN ELECTRIC",""
"20","","","Arapaho & Roosevelt National Forests Pawnee NG","West Virginia","SHELTER ELECTRIC",""
"21","","","San Juan National Forest","Mississippi","BOAT IN",""
"22","","","Shoshone National Forest","Kentucky","Yes",""
"23","","","Nebraska National Forests and Grasslands","Oklahoma","Boat Launch",""
"24","","","Sopris RD - FS","Texas","EQUESTRIAN NONELECTRIC",""
"25","","","Coconino National Forest Recreation","Florida","YURT",""
"26","","","Apache-Sitgreaves National Forest","Arkansas","PICNIC",""
"27","","","Kaibab National Forest","Louisiana","GROUP WALK TO",""
"28","","","Tonto National Forest","South Carolina","GROUP STANDARD ELECTRIC",""
"29","","","Cibola National Forest and Grasslands","Georgia","Historic Tour",""
"30","","","Lincoln National Forest","Minnesota","Combo Tour",""
"31","","","Santa Fe National Forest","Michigan","Designated Campsite",""
"32","","","Prescott National Forest","Pennsylvania","SHELTER NONELECTRIC",""
"33","","","Coronado National Forest","Indiana","Parking Space",""
"34","","","Carson National Forest","Ohio","GROUP EQUESTRIAN",""
"35","","","Humboldt-Toiyabe National Forest Headquarters","New Hampshire","GROUP RV AREA NONELECTRIC",""
"36","","","Ashley National Forest","Maine","GROUP STANDARD AREA ELECTRIC",""
"37","","","Uinta-Wasatch-Cache National Forest","Missouri","Destination Zone",""
"38","","","Fishlake National Forest","Vermont","Nature Tour",""
"39","","","Boise National Forest","Wisconsin","HIKE TO",""
"40","","","Bridger-Teton National Forest","New York","Zone",""
"41","","","Dixie National Forest","","Campsite",""
"42","","","Manti-La Sal National Forest","","Cave Tour",""
"43","","","Caribou-Targhee National Forest","","Nature Hike",""
"44","","","Sawtooth National Forest","","Hidden",""
"45","","","Salmon-Challis National Forest","","Permit Area",""
"46","","","Payette National Forest","","Climbing Zone",""
"47","","","Stanislaus National Forest","","TENT ONLY ELECTRIC",""
"48","","","Modoc National Forest","","EQUESTRIAN ELECTRIC",""
"49","","","Plumas National Forest","","Pass",""
"50","","","SHASTA-TRINITY NATIONAL FOREST","","DM",""
"51","","","Tahoe National Forest","","OH",""
"52","","","Inyo National Forest","","OM",""
"53","","","Lassen National Forest","","OP",""
"54","","","Sequoia National Forest","","Segment",""
"55","","","Klamath National Forest","","",""
"56","","","Cleveland National Forest","","",""
"57","","","Eldorado National Forest","","",""
"58","","","Los Padres National Forest","","",""
"59","","","San Bernardino National Forest","","",""
"60","","","Sierra National Forest","","",""
"61","","","Six Rivers National Forest","","",""
"62","","","Lake Tahoe Basin Management Unit","","",""
"63","","","Mendocino National Forest","","",""
"64","","","Angeles National Forest","","",""
"65","","","Umpqua National Forest","","",""
"66","","","Columbia River Gorge National Scenic Area","","",""
"67","","","Rogue River-Siskiyou National Forest","","",""
"68","","","Olympic National Forest","","",""
"69","","","Okanogan-Wenatchee National Forest","","",""
"70","","","Willamette National Forest","","",""
"71","","","Siuslaw National Forest","","",""
"72","","","Colville National Forest","","",""
"73","","","Mt. Baker-Snoqualmie National Forest","","",""
"74","","","Deschutes National Forest","","",""
"75","","","Gifford Pinchot National Forest","","",""
"76","","","Mt. Hood National Forest","","",""
"77","","","Wallowa Whitman National Forest","","",""
"78","","","Malheur National Forest","","",""
"79","","","Wenatchee River RD - FS","","",""
"80","","","Lookout Mountain RD - FS","","",""
"81","","","Fremont-Winema National Forest","","",""
"82","","","Umatilla National Forest","","",""
"83","","","National Forests in North Carolina","","",""
"84","","","George Washington & Jefferson National Forest","","",""
"85","","","Cherokee National Forest","","",""
"86","","","National Forests in Alabama","","",""
"87","","","National Forests in Mississippi","","",""
"88","","","Daniel Boone National Forest","","",""
"89","","","Ouachita National Forest","","",""
"90","","","National Forests and Grasslands in Texas","","",""
"91","","","National Forests in Florida","","",""
"92","","","Ozark-St. Francis National Forests","","",""
"93","","","Kisatchie National Forest","","",""
"94","","","Francis Marion and Sumter National Forests","","",""
"95","","","Recreation - Chattahoochee-Oconee National Forest","","",""
"96","","","Lake George RD - FS","","",""
"97","","","Chequamegon-Nicolet NF","","",""
"98","","","Green Mountain & Finger Lakes National Forests","","",""
"99","","","Ottawa National Forest","","",""
"100","","","Huron-Manistee National Forests","","",""
"101","","","Chippewa National Forest","","",""
"102","","","Superior National Forest","","",""
"103","","","Hiawatha National Forest","","",""
"104","","","Allegheny National Forest","","",""
"105","","","Monongahela National Forest","","",""
"106","","","Hoosier National Forest","","",""
"107","","","Wayne National Forest","","",""
"108","","","White Mountain National Forest","","",""
"109","","","Mark Twain National Forest","","",""
"110","","","Finger Lakes National Forest","","",""
"111","","","El Yunque National Forest","","",""
