"HistoricalReservationID","OrderNumber","Agency","OrgID","CodeHierarchy","RegionCode","RegionDescription","ParentLocationID","ParentLocation","LegacyFacilityID","Park","SiteType","UseType","ProductID","EntityType","EntityID","FacilityID","FacilityZIP","FacilityState","FacilityLongitude","FacilityLatitude","CustomerZIP","CustomerState","CustomerCountry","Tax","UseFee","TranFee","AttrFee","TotalBeforeTax","TotalPaid","StartDate","EndDate","OrderDate","NumberOfPeople","Tent","Popup","Trailer","RVMotorhome","Boat","HorseTrailer","Car","FifthWheel","Van","CanoeKayak","BoatTrailer","Motorcycle","Truck","Bus","Bicycle","Snowmobile","OffRoadlAllTerrainVehicle","PowerBoat","PickupCamper","LargeTentOver9x12","SmallTent","Marinaboat"
861900,"1-5323272","BLM",126,"|1|70901|74323|74328|74473|74081|","084","Cascades",74328,"Salem",74081,"FISHERMENS BEND","GROUP STANDARD ELECTRIC","Overnight",142368,"Site",8900,234074,"97360","OR",-122.51,44.7575,"97128-3127","OR","USA",0.0,170.0,0.0,0.0,170.0,170.0,2007-07-27,2007-07-29,2006-08-05,35,,,,,,,1,,,,,,,,,,,,,,,
863200,"1-5349207","BLM",126,"|1|70901|74323|74328|74473|74081|","084","Cascades",74328,"Salem",74081,"FISHERMENS BEND","GROUP STANDARD ELECTRIC","Overnight",142368,"Site",8900,234074,"97360","OR",-122.51,44.7575,"97358","OR","USA",0.0,300.0,0.0,0.0,300.0,300.0,2007-08-09,2007-08-13,2006-08-12,30,,,,,,,,,,,,,,,,,,,,,,
864700,"1-5373816","NPS",128,"|1|70904|74324|74330|79000|74066|","HQARCH","Headquarters - Arches National Park",74330,"Arches National Park",74066,"DEVILS GARDEN CAMPGROUND","STANDARD NONELECTRIC","Overnight",141249,"Site",7448,234059,"","UT",-109.589,38.7769,"84062","UT","USA",0.0,90.0,9.0,0.0,99.0,99.0,2007-04-17,2007-04-23,2006-08-19,10,,,,,,,,,,,,,,,,,,,,,,
865200,"1-5384274","NPS",128,"|1|70904|74324|74330|79000|74066|","HQARCH","Headquarters - Arches National Park",74330,"Arches National Park",74066,"DEVILS GARDEN CAMPGROUND","STANDARD NONELECTRIC","Overnight",141241,"Site",,234059,"","UT",-109.589,38.7769,"84062","UT","USA",0.0,45.0,9.0,0.0,54.0,54.0,2007-04-18,2007-04-21,2006-08-22,8,,,,,,,1,,,,,,,,,,,,,,,
852282,"1-5317808","BLM",126,"|1|70901|74323|74328|74473|74081|","084","Cascades",74328,"Salem",74081,"FISHERMENS BEND","GROUP STANDARD ELECTRIC","Overnight",142373,"Site",8905,234074,"97360","OR",-122.51,44.7575,"97301","OR","USA",0.0,215.0,10.0,0.0,225.0,225.0,2007-08-01,2007-08-04,2006-08-09,40,,,,,,,,,,,,,,,,,,,,,,
852333,"1-5342597","BLM",126,"|1|70901|74323|74328|74473|74081|","084","Cascades",74328,"Salem",74081,"FISHERMENS BEND","GROUP STANDARD ELECTRIC","Overnight",142373,"Site",8905,234074,"97360","OR",-122.51,44.7575,"97317","OR","USA",0.0,170.0,20.0,0.0,190.0,190.0,2007-08-10,2007-08-12,2006-08-25,60,1,,1,1,,,,,,,,,,,,,,,,,,
852604,"1-5398104","BLM",126,"|1|70901|74323|74328|74473|74081|","084","Cascades",74328,"Salem",74081,"FISHERMENS BEND","GROUP STANDARD ELECTRIC","Overnight",142393,"Site",8916,234074,"97360","OR",-122.51,44.7575,"97478","OR","USA",0.0,170.0,20.0,0.0,190.0,190.0,2007-08-24,2007-08-26,2006-08-30,50,,,,,,,,,,,,,,,,,,,,,,
853758,"1-4540643","NPS",128,"|1|70904|74327|74469|74073|","LARO-9260","Lake Roosevelt National Recreation Area",74327,"Pacific West Region",74073,"KETTLE FALLS LOCUST GROVE GROUP SITE","GROUP SHELTER ELECTRIC","Overnight",141675,"Site",8581,234066,"99122","WA",-118.115,48.5924,"98104","WA","USA",0.0,300.0,29.0,0.0,329.0,329.0,2007-07-26,2007-07-30,2006-08-02,50,,,,,,,,,,,,,,,,,,,,,,
853817,"1-4644911","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140737,"Site",,234038,"79834","TX",-103.304,29.275,"78759","TX","USA",0.0,120.0,9.0,0.0,129.0,129.0,2007-02-15,2007-02-19,2006-02-27,10,,,,,,,,,,,,,,,,,,,,,,
853840,"1-4644920","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140738,"Site",,234038,"79834","TX",-103.304,29.275,"78759","TX","USA",0.0,120.0,9.0,0.0,129.0,129.0,2007-02-15,2007-02-19,2006-02-27,10,,,,,,,,,,,,,,,,,,,,,,
853863,"1-4644930","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140739,"Site",,234038,"79834","TX",-103.304,29.275,"78759","TX","USA",0.0,120.0,9.0,0.0,129.0,129.0,2007-02-15,2007-02-19,2006-02-27,10,,,,,,,,,,,,,,,,,,,,,,
853886,"1-4644943","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140736,"Site",,234038,"79834","TX",-103.304,29.275,"78759","TX","USA",0.0,120.0,9.0,0.0,129.0,129.0,2007-02-15,2007-02-19,2006-02-26,10,,,,,,,,,,,,,,,,,,,,,,
853909,"1-4665689","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140738,"Site",,234038,"79834","TX",-103.304,29.275,"78759","TX","USA",0.0,120.0,9.0,0.0,129.0,129.0,2007-02-21,2007-02-25,2006-03-06,10,,,,,,,,,,,,,,,,,,,,,,
853932,"1-4665692","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140739,"Site",,234038,"79834","TX",-103.304,29.275,"78759","TX","USA",0.0,120.0,9.0,0.0,129.0,129.0,2007-02-21,2007-02-25,2006-03-06,10,,,,,,,1,,,,,,,,,,,,,,,
853955,"1-4671380","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140738,"Site",,234038,"79834","TX",-103.304,29.275,"75229","TX","USA",0.0,420.0,9.0,0.0,429.0,429.0,2007-01-26,2007-02-02,2006-03-08,20,,,,,,,,,,,,,,,,,,,,,,
853984,"1-4671382","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140739,"Site",,234038,"79834","TX",-103.304,29.275,"75229","TX","USA",0.0,420.0,9.0,0.0,429.0,429.0,2007-01-26,2007-02-02,2006-03-08,20,,,,,,,,,,,,,,,,,,,,,,
854013,"1-4673458","NPS",128,"|1|70904|74324|74331|74044|","BIBE-7130","Big Bend National Park",74324,"Intermountain Region",74044,"CHISOS BASIN (BIG BEND)","GROUP TENT ONLY AREA NONELECTRIC","Overnight",140738,"Site",,234038,"79834","TX",-103.304,29.275,"75006","TX","USA",0.0,420.0,9.0,0.0,429.0,429.0,2007-02-02,2007-02-09,2006-03-09,20,1,,,,,,,,,,,,,,,,,,,,,
