"","region_code","region_description","facility_state","site_type","inventory_type","use_type"
"1","CB","Mississippi Valley","Alabama","BALL FIELD","CAMPING","Day"
"2","CE","North Atlantic Div","Arkansas","BOAT IN","","Overnight"
"3","CG","Northwestern Div.","California","CABIN ELECTRIC","",""
"4","CH","Great Lakes / Ohio R","Connecticut","CABIN NONELECTRIC","",""
"5","CK","South Atlantic Div","Florida","EQUESTRIAN ELECTRIC","",""
"6","CL","South Pacific Div.","Georgia","EQUESTRIAN NONELECTRIC","",""
"7","CM","Southwestern Div.","Idaho","GROUP EQUESTRIAN","",""
"8","","","Illinois","GROUP PICNIC AREA","",""
"9","","","Indiana","GROUP SHELTER ELECTRIC","",""
"10","","","Iowa","GROUP SHELTER NONELECTRIC","",""
"11","","","Kansas","GROUP STANDARD AREA ELECTRIC","",""
"12","","","Kentucky","GROUP STANDARD AREA NONELECTRIC","",""
"13","","","Maryland","GROUP STANDARD ELECTRIC","",""
"14","","","Massachusetts","GROUP STANDARD NONELECTRIC","",""
"15","","","Minnesota","GROUP TENT ONLY AREA NONELECTRIC","",""
"16","","","Mississippi","GROUP WALK TO","",""
"17","","","Missouri","HIKE TO","",""
"18","","","Montana","MANAGEMENT","",""
"19","","","Nebraska","MOORING","",""
"20","","","New Hampshire","No","",""
"21","","","New Mexico","OVERNIGHT SHELTER ELECTRIC","",""
"22","","","North Carolina","OVERNIGHT SHELTER NONELECTRIC","",""
"23","","","North Dakota","PICNIC","",""
"24","","","Ohio","RV ELECTRIC","",""
"25","","","Oklahoma","RV NONELECTRIC","",""
"26","","","Oregon","SHELTER ELECTRIC","",""
"27","","","Pennsylvania","SHELTER NONELECTRIC","",""
"28","","","South Carolina","STANDARD ELECTRIC","",""
"29","","","South Dakota","STANDARD NONELECTRIC","",""
"30","","","Tennessee","TENT ONLY ELECTRIC","",""
"31","","","Texas","TENT ONLY NONELECTRIC","",""
"32","","","Vermont","WALK TO","",""
"33","","","Virginia","Yes","",""
"34","","","Washington","","",""
"35","","","West Virginia","","",""
"36","","","Wisconsin","","",""
