"","region_code","region_description","facility_state","site_type","inventory_type","use_type"
"1","F0","Alaska Region","Alabama","BOAT IN","CAMPING","Day"
"2","F1","Northern Region","Alaska","Boat Launch","LOTTERY_PERMIT","Overnight"
"3","F2","Rocky Mountain RE","Arizona","CABIN ELECTRIC","PERMIT",""
"4","F3","Southwest Reg.","Arkansas","CABIN NONELECTRIC","TICKET",""
"5","F4","Intermountain Reg.","California","Campsite","VEHICLE_PERMIT",""
"6","F5","Pacific Southwest","Colorado","Cave Tour","",""
"7","F6","Pacific Northwest","Florida","Climbing Zone","",""
"8","F8","Southern Region","Georgia","Combo Tour","",""
"9","F9","Eastern Region","Idaho","Designated Campsite","",""
"10","","","Indiana","Destination Zone","",""
"11","","","Kentucky","DM","",""
"12","","","Louisiana","Entry Point","",""
"13","","","Maine","EQUESTRIAN ELECTRIC","",""
"14","","","Michigan","EQUESTRIAN NONELECTRIC","",""
"15","","","Minnesota","GROUP EQUESTRIAN","",""
"16","","","Mississippi","GROUP PICNIC AREA","",""
"17","","","Missouri","GROUP RV AREA NONELECTRIC","",""
"18","","","Montana","GROUP SHELTER ELECTRIC","",""
"19","","","Nebraska","GROUP SHELTER NONELECTRIC","",""
"20","","","Nevada","GROUP STANDARD AREA ELECTRIC","",""
"21","","","New Hampshire","GROUP STANDARD AREA NONELECTRIC","",""
"22","","","New Mexico","GROUP STANDARD ELECTRIC","",""
"23","","","New York","GROUP STANDARD NONELECTRIC","",""
"24","","","North Carolina","GROUP TENT ONLY AREA NONELECTRIC","",""
"25","","","Ohio","GROUP WALK TO","",""
"26","","","Oklahoma","Hidden","",""
"27","","","Oregon","HIKE TO","",""
"28","","","Pennsylvania","Historic Tour","",""
"29","","","South Carolina","LOOKOUT","",""
"30","","","South Dakota","MANAGEMENT","",""
"31","","","Tennessee","Nature Hike","",""
"32","","","Texas","Nature Tour","",""
"33","","","Utah","OH","",""
"34","","","Vermont","OM","",""
"35","","","Virginia","OP","",""
"36","","","Washington","Parking Space","",""
"37","","","West Virginia","Pass","",""
"38","","","Wisconsin","Permit Area","",""
"39","","","Wyoming","PICNIC","",""
"40","","","","RV ELECTRIC","",""
"41","","","","RV NONELECTRIC","",""
"42","","","","Segment","",""
"43","","","","SHELTER ELECTRIC","",""
"44","","","","SHELTER NONELECTRIC","",""
"45","","","","STANDARD ELECTRIC","",""
"46","","","","STANDARD NONELECTRIC","",""
"47","","","","TENT ONLY ELECTRIC","",""
"48","","","","TENT ONLY NONELECTRIC","",""
"49","","","","Trailhead","",""
"50","","","","WALK TO","",""
"51","","","","Yes","",""
"52","","","","YURT","",""
"53","","","","Zone","",""
